Ticker,Sector,Market_Cap,Enterprise_Value,EBITDA,Free_Cash_Flow,EV/EBITDA,FCF_Yield,Debt/EBITDA,Revenue_Growth,Gross_Margins,Insider_Ownership,Institutional_Ownership,Intrinsic_Value,Discount_to_Intrinsic
BXC,Industrials,406318848,727003008,73818000,-6934125.0,9.848587173860034,-0.009537959160686168,9.03902852962692,0.031,0.15353,0.03127,0.99933,,
CAKE,Consumer Cyclical,2895662848,4715363328,338798016,128065752.0,13.917918952630467,0.027159254354704943,6.321583748589602,0.056,0.40495,0.07501,1.13913,2306419320.826823,-1.0444518849718964
CAL,Consumer Cyclical,376210144,1241746944,105176000,11560000.0,11.806371643721,0.009309465230300578,8.472760021297635,0.087,0.43519002,0.03604,0.94211,237121968.91068196,-4.236743561570778
CALM,Consumer Defensive,3695847680,2621949440,970849984,329678368.0,2.7006741342233984,0.12573788150544962,0.0,-0.53,0.33773997,0.10052,0.96017,5787915736.322753,0.5469959205615857
CASS,Industrials,589112512,493327232,63204000,74693624.0,7.80531662553003,0.15140786714162174,2.3626669198152017,0.032,0.47586,0.1167,0.59833,1214022143.507361,0.5936423115193296
CNO,Financial Services,4405115904,7188298240,959800000,1026137472.0,7.489370952281726,0.14275109876353712,4.482287943321525,0.025,0.38895,0.02404,0.96712995,16181398596.923063,0.555767803571264
CRVL,Financial Services,2945931008,2768894720,167835008,98287376.0,16.49771852127537,0.03549697115244598,0.1546042170177035,0.034,0.24221,0.43862,0.53831,1611319708.1888897,-0.7184018205252484
CSWC,Financial Services,1444490112,1726722688,201256000,86998128.0,8.579732718527646,0.05038338153810139,1.6472105576976588,-0.04,1.0,0.027509999,0.28473,1527360855.1769495,-0.13052700162330258
CTRE,Real Estate,9905553408,10661402624,445809984,965303104.0,23.914678913965282,0.0905418487645327,1.4935422173048507,0.032,0.97461,0.00775,0.99136,15689416053.134457,0.32047167415959704
CVI,Energy,3328568320,4887955456,587000000,-102250000.0,8.327010998296423,-0.020918766735995395,3.0681429914821123,0.203,0.09859,0.0,1.04374,,
CWCO,Utilities,469125568,362310112,24142696,22215138.0,15.007027881227515,0.06131525801852309,0.11547844532358773,-0.111,0.36615002,0.05809,0.65725,390014508.97373277,0.07103427266496551
CXW,Industrials,2101379840,3250787328,376433984,-31822376.0,8.635743493339858,-0.009789128844543103,3.7811968857732037,0.258,0.23607,0.03115,0.91348,,
CROX,Consumer Cyclical,4827846144,6410980352,950886016,446939616.0,6.742112350088447,0.06971470687171434,1.814564457744639,-0.017,0.58101004,0.02772,1.0043399,7846583481.729831,0.18295900796474324
YELP,Communication Services,1159204096,1301599488,206398000,281926880.0,6.306260176939699,0.21660033105360288,0.750608048527602,0.008,0.90042,0.062649995,1.17455,4128548196.051742,0.6847319139341138
ETSY,Consumer Cyclical,5542888960,7097051648,439000000,165655504.0,16.166404665148065,0.02334145391863999,7.006316464692483,0.031,0.71554,0.01352,1.23304,2680875350.6523457,-1.647288933546669
PINS,Communication Services,10659793920,10745509888,348894016,1080373120.0,30.798779558317218,0.10054181990996089,3.4538569328744235,0.178,0.79864,0.01395,1.12897,31977456853.496147,0.6639660890723655
ZBRA,Technology,12294178816,14489016320,1026000000,559000000.0,14.121848265107213,0.03858094902056125,2.7768030565302144,0.143,0.48182,0.008090001,1.04205,14407016548.114517,-0.005691655285577798
WEN,Consumer Cyclical,1544797952,5377889280,479175008,131266376.0,11.223225732173411,0.024408530775851152,8.59100083950956,0.033,0.34101,0.090150006,0.93088996,2142730975.8592637,-1.5098294375678192
SHAK,Consumer Cyclical,2647320576,3231252224,170267008,-10021750.0,18.977559199254856,-0.003101506569361513,5.505529197999415,0.143,0.40442002,0.042579997,1.05691,,
PLTR,Technology,320592510976,304062595072,2018253056,1752997120.0,150.65632833705467,0.0057652508016808246,0.10502993733606417,0.847,0.84073997,0.03501,0.61707,441658600665.3873,0.3115438154857395
ROKU,Communication Services,18587256832,16669203456,385815008,676668096.0,43.20517115809036,0.04059390706857301,1.2988530295845826,0.224,0.44192,0.0062599997,0.84450996,23908366123.03624,0.30278784546724613
DOCU,Technology,8840258560,8081459712,338160000,1200173568.0,23.89833129879347,0.14850950332869767,0.5474302342086587,0.078,0.79576,0.0051599997,0.87211996,23712272726.728348,0.659186624363905
TWLO,Technology,30057293824,27955032064,439796992,879865344.0,63.56349082078306,0.031474309955561636,2.428691026608931,0.2,0.48719,0.00119,0.9307,28363414135.82554,0.0143981986748808
SNX,Technology,18896406528,22226249728,2026326016,1214118144.0,10.96874320938492,0.054625416291912185,2.545577597716635,0.181,0.07097,0.049390003,0.91454005,36359534404.03498,0.3887091764977757
ARW,Technology,10954936320,13084496896,1282123008,264513248.0,10.205336628667691,0.020215775211109805,1.9231897974020289,0.39,0.11259,0.00598,1.08213,16974518460.279388,0.229168301497453
